geometry;muestra;cultivo;date;valor;variable;clai
c(267318.798842094, 5970372.70892328);5;trigo;2020-12-04;3.0175273418426514;lai;17.673376381397247
c(267103.509067031, 5970319.48182146);3;trigo;2020-12-04;3.023313522338867;lai;20.5959495306015
c(268851.961059431, 5969948.29313324);5;maiz;2020-12-04;2.332765817642212;lai;14.997817575931549
c(268799.930726717, 5969814.07767798);1;maiz;2020-12-04;2.383810043334961;lai;15.038062512874603
c(268681.829125117, 5969855.98851984);2;maiz;2020-12-04;2.2441539764404297;lai;14.74195221066475
c(268604.857090739, 5970009.29054857);4;maiz;2020-12-04;1.6357536315917969;lai;13.369567185640335
c(268481.45584638, 5969926.53256864);3;maiz;2020-12-04;2.0538527965545654;lai;14.448629438877106
c(267424.84322317, 5970351.83901442);4;trigo;2021-02-02;0.3140754699707031;lai;17.731722474098206
c(267325.880497903, 5970251.93123325);1;trigo;2021-02-02;0.3118826150894165;lai;20.64463520050049
c(267222.297476872, 5970288.28354686);2;trigo;2021-02-02;0.3149898648262024;lai;20.517624735832214
c(267318.798842094, 5970372.70892328);5;trigo;2021-02-02;0.3150721490383148;lai;17.988448530435562
c(267103.509067031, 5970319.48182146);3;trigo;2021-02-02;0.31515955924987793;lai;20.91110908985138
c(268851.961059431, 5969948.29313324);5;maiz;2021-02-02;2.8023500442504883;lai;17.800167620182037
c(268799.930726717, 5969814.07767798);1;maiz;2021-02-02;2.8123130798339844;lai;17.850375592708588
c(268681.829125117, 5969855.98851984);2;maiz;2021-02-02;2.797800064086914;lai;17.539752274751663
c(268604.857090739, 5970009.29054857);4;maiz;2021-02-02;2.6203222274780273;lai;15.989889413118362
c(268481.45584638, 5969926.53256864);3;maiz;2021-02-02;2.7899985313415527;lai;17.23862797021866
c(267424.84322317, 5970351.83901442);4;trigo;2021-05-23;0.5206313133239746;lai;18.25235378742218
c(267325.880497903, 5970251.93123325);1;trigo;2021-05-23;0.5192296504974365;lai;21.163864850997925
c(267222.297476872, 5970288.28354686);2;trigo;2021-05-23;0.5216251015663147;lai;21.03924983739853
c(267318.798842094, 5970372.70892328);5;trigo;2021-05-23;0.5345963835716248;lai;18.523044914007187
c(267103.509067031, 5970319.48182146);3;trigo;2021-05-23;0.522688090801239;lai;21.43379718065262
c(268851.961059431, 5969948.29313324);5;maiz;2021-05-23;0.5244612693786621;lai;18.3246288895607
c(268799.930726717, 5969814.07767798);1;maiz;2021-05-23;0.544119119644165;lai;18.394494712352753
c(268681.829125117, 5969855.98851984);2;maiz;2021-05-23;0.5394176840782166;lai;18.07916995882988
c(268604.857090739, 5970009.29054857);4;maiz;2021-05-23;0.5439780354499817;lai;16.533867448568344
c(268481.45584638, 5969926.53256864);3;maiz;2021-05-23;0.5225365161895752;lai;17.761164486408234
